y,x
109,1341
1018,1736
520,1405
494,171
89,379
476,1892
565,974
96,989
400,1157
1066,1524
127,1291
1061,578
124,548
475,1333
777,1024
332,380
352,632
210,1233
539,508
304,693
538,1493
187,1313
725,497
30,1399
1072,1083
160,383
518,668
209,1826
786,1717
717,1476
3,1651
572,409
113,1685
64,465
448,1546
786,754
667,930
973,196
1053,665
561,822
528,1180
703,77
370,65
901,1775
299,504
802,1356
181,1679
304,765
464,247
916,769
271,1079
51,1270
656,788
801,1556
1032,1865
978,321
893,1365
118,943
437,655
496,1662
15,1778
715,477
92,476
516,563
373,318
696,1108
751,1859
651,603
224,1167
939,1331
1047,1500
368,154
291,85
298,1354
40,1353
403,1267
789,758
422,26
282,460
522,1204
753,150
710,1802
922,535
558,1576
7,1878
434,1104
537,1583
75,654
396,1908
384,1024
399,1298
882,1718
296,1017
193,1785
163,1599
246,216
472,1555
741,1760
71,1860
848,1513
358,556
769,300
920,1317
2,1379
124,1206
415,1521
520,1856
298,1681
522,1307
966,1404
586,816
255,1667
354,1775
869,1370
898,1437
660,1424
41,651
643,1016
505,1505
951,1724
949,327
543,1501
363,1664
835,1456
370,744
817,1712
253,596
266,1498
393,878
184,1418
569,1311
469,796
452,911
873,1621
605,523
411,1449
49,1123
482,1123
306,1491
23,146
233,745
590,89
208,1279
898,1031
157,1495
465,478
259,1255
268,541
179,1664
295,1912
950,604
986,1738
824,452
869,757
171,1667
6,10
1028,1336
169,514
424,1493
591,1190
259,91
70,1399
247,46
177,1512
583,215
2,46
851,121
952,101
318,1868
45,1432
754,68
573,545
855,692
172,575
37,798
867,971
1020,1616
562,1295
214,1509
100,1810
550,327
640,1037
116,1326
1072,499
89,495
907,262
853,1563
203,1686
904,1781
756,767
895,1694
224,610
880,236
550,3
371,1602
31,309
173,1152
547,482
568,929
1067,1126
994,866
551,1412
581,1607
575,646
1024,1809
915,1326
113,1015
834,1174
101,321
149,1271
276,741
1043,435
310,213
250,1552
238,1171
1068,694
488,1611
471,1440
541,156
917,148
752,1548
36,482
9,68
1033,1226
396,218
595,262
184,7
635,1577
332,1731
442,935
83,1476
167,779
1019,26
801,1444
631,1885
325,403
993,763
385,868
982,1696
1045,548
1065,1807
885,1723
360,1914
613,627
1035,342
1000,1210
669,1361
168,1725
727,809
853,519
635,1532
458,263
312,1505
802,600
379,1663
566,314
443,3
570,926
722,1846
766,1265
11,570
558,622
145,1592
36,1137
641,271
919,848
170,1273
216,277
845,875
330,1223
817,1757
762,363
1026,1860
49,319
70,1841
268,1033
695,277
160,1589
198,882
871,1765
637,219
528,1301
82,1699
438,63
274,701
728,1585
865,1790
444,1244
1042,351
752,6
236,1751
888,1453
854,425
109,585
705,781
481,883
1044,947
756,474
340,74
799,492
975,1286
754,4
430,1299
911,1155
846,1448
683,1172
687,1900
81,220
73,1888
185,491
883,1142
71,182
659,1445
912,1561
857,39
0,1752
322,1717
250,1744
145,1860
506,1499
1037,307
424,378
351,1386
651,720
208,1092
201,1332
505,55
511,509
269,1641
1068,1133
582,371
911,861
455,1669
211,543
140,745
816,1913
977,1919
910,1422
910,958
1035,90
494,611
558,1870
363,184
290,1884
637,1758
532,1638
295,1592
1076,398
33,1241
335,242
177,1844
111,759
958,389
323,591
175,1468
